symbol,name,index
AC.PA,Accor,CAC40
AI.PA,Air Liquide,CAC40
AIR.PA,Airbus,CAC40
ALO.PA,Alstom,CAC40
MT.AS,ArcelorMittal,CAC40
CS.PA,AXA,CAC40
BNP.PA,BNP Paribas,CAC40
EN.PA,Bouygues,CAC40
BVI.PA,Bureau Veritas,CAC40
CAP.PA,Capgemini,CAC40
CA.PA,Carrefour,CAC40
ACA.PA,Credit Agricole,CAC40
BN.PA,Danone,CAC40
DSY.PA,Dassault Systemes,CAC40
EDEN.PA,Edenred,CAC40
ENGI.PA,Engie,CAC40
EL.PA,EssilorLuxottica,CAC40
ERF.PA,Eurofins Scientific,CAC40
RMS.PA,Hermes International,CAC40
KER.PA,Kering,CAC40
LR.PA,Legrand,CAC40
OR.PA,L Oreal,CAC40
MC.PA,LVMH,CAC40
ML.PA,Michelin,CAC40
ORA.PA,Orange,CAC40
RI.PA,Pernod Ricard,CAC40
PUB.PA,Publicis Groupe,CAC40
RNO.PA,Renault,CAC40
SAF.PA,Safran,CAC40
SGO.PA,Saint-Gobain,CAC40
SAN.PA,Sanofi,CAC40
SU.PA,Schneider Electric,CAC40
GLE.PA,Societe Generale,CAC40
STLAP.PA,Stellantis,CAC40
STMPA.PA,STMicroelectronics,CAC40
TEP.PA,Teleperformance,CAC40
HO.PA,Thales,CAC40
TTE.PA,TotalEnergies,CAC40
URW.AS,Unibail-Rodamco-Westfield,CAC40
VIE.PA,Veolia Environnement,CAC40
DG.PA,Vinci,CAC40
VIV.PA,Vivendi,CAC40
AMUN.PA,Amundi,SBF120
ATO.PA,Atos,SBF120
FDJ.PA,FDJ United,SBF120
GTT.PA,Gaztransport et Technigaz,SBF120
IPN.PA,Ipsen,SBF120
KOF.PA,Kaufman et Broad,SBF120
NEX.PA,Nexans,SBF120
RCO.PA,Remy Cointreau,SBF120
RXL.PA,Rexel,SBF120
SW.PA,Sodexo,SBF120
SOI.PA,Soitec,SBF120
TE.PA,Technip Energies,SBF120
UBI.PA,Ubisoft Entertainment,SBF120
VRLA.PA,Verallia,SBF120
SESG.PA,SES,SBF120
ELIS.PA,Elis,SBF120
COFA.PA,Coface,SBF120
ALD.PA,Ayvens,SBF120
AKE.PA,Arkema,SBF120
ADS.DE,Adidas,DAX
ALV.DE,Allianz,DAX
BAS.DE,BASF,DAX
BAYN.DE,Bayer,DAX
BEI.DE,Beiersdorf,DAX
BMW.DE,BMW,DAX
BNR.DE,Brenntag,DAX
CBK.DE,Commerzbank,DAX
CON.DE,Continental,DAX
1COV.DE,Covestro,DAX
DTG.DE,Daimler Truck,DAX
DBK.DE,Deutsche Bank,DAX
DB1.DE,Deutsche Boerse,DAX
DHL.DE,DHL Group,DAX
DTE.DE,Deutsche Telekom,DAX
EOAN.DE,E.ON,DAX
FRE.DE,Fresenius,DAX
HNR1.DE,Hannover Rueck,DAX
HEI.DE,Heidelberg Materials,DAX
HEN3.DE,Henkel,DAX
IFX.DE,Infineon Technologies,DAX
MBG.DE,Mercedes-Benz Group,DAX
MRK.DE,Merck KGaA,DAX
MTX.DE,MTU Aero Engines,DAX
MUV2.DE,Muenchener Rueck,DAX
PAH3.DE,Porsche Automobil Holding,DAX
P911.DE,Porsche AG,DAX
PUM.DE,Puma,DAX
QIA.DE,Qiagen,DAX
RHM.DE,Rheinmetall,DAX
RWE.DE,RWE,DAX
SAP.DE,SAP,DAX
SRT3.DE,Sartorius,DAX
SIE.DE,Siemens,DAX
ENR.DE,Siemens Energy,DAX
SHL.DE,Siemens Healthineers,DAX
SY1.DE,Symrise,DAX
VOW3.DE,Volkswagen,DAX
VNA.DE,Vonovia,DAX
ZAL.DE,Zalando,DAX
AIXA.DE,Aixtron,MDAX
BOSS.DE,Hugo Boss,MDAX
EVK.DE,Evonik Industries,MDAX
FRA.DE,Fraport,MDAX
G1A.DE,GEA Group,MDAX
KGX.DE,Kion Group,MDAX
LEG.DE,LEG Immobilien,MDAX
LHA.DE,Lufthansa,MDAX
NDA.DE,Aurubis,MDAX
O2D.DE,Telefonica Deutschland,MDAX
RAA.DE,Rational,MDAX
SDF.DE,K+S,MDAX
